Bratislava - Karlova Ves - Mestská časť,Bratislava IV,Bratislavský,"33,876"
Bratislava - Lamač - Mestská časť,Bratislava IV,Bratislavský,"6,58"
Bratislava - Nové Mesto - Mestská časť,Bratislava III,Bratislavský,"37,048"
Bratislava - Petržalka - Mestská časť,Bratislava V,Bratislavský,"113,443"
Bratislava - Podunajské Biskupice - Mestská časť,Bratislava II,Bratislavský,"20,717"
Bratislava - Rača - Mestská časť,Bratislava III,Bratislavský,"20,438"
Bratislava - Rusovce - Mestská časť,Bratislava V,Bratislavský,"2,422"
Bratislava - Ružinov - Mestská časť,Bratislava II,Bratislavský,"70,692"
Bratislava - Staré Mesto - Mestská časť,Bratislava I,Bratislavský,"41,255"
Bratislava - Vajnory - Mestská časť,Bratislava III,Bratislavský,"4,659"
Bratislava - Vrakuňa - Mestská časť,Bratislava II,Bratislavský,"19,32"
Bratislava - Záhorská Bystrica - Mestská časť,Bratislava IV,Bratislavský,"2,852"
Braväcovo,Brezno,Banskobystrický,705
Brdárka,Rožňava,Košický,60
Brehov,Trebišov,Košický,623
Brehy,Žarnovica,Banskobystrický,"1,088"
Brekov,Humenné,Prešovský,"1,281"
Brestov / okres Humenne,Humenné,Prešovský,541
Brestov / okres Presov,Prešov,Prešovský,453
Brestov nad Laborcom,Medzilaborce,Prešovský,74
Brestovany,Trnava,Trnavský,"2,131"
Brestovec / okres Komarno,Komárno,Nitriansky,490
Brestovec / okres Myjava,Myjava,Trenčiansky,937
Bretejovce,Prešov,Prešovský,358
Bretka,Rožňava,Košický,373
Breza,Námestovo,Žilinský,"1,555"
Brezany,Žilina,Žilinský,462
Brezina,Trebišov,Košický,705
Breziny,Zvolen,Banskobystrický,333
Breznica,Stropkov,Prešovský,725
Breznička / okres Poltar,Poltár,Banskobystrický,795
Breznička / okres Stropkov,Stropkov,Prešovský,118
Brezno,Brezno,Banskobystrický,"22,116"
Brezolupy,Bánovce nad Bebravou,Trenčiansky,493
Brezov,Bardejov,Prešovský,409
Brezová pod Bradlom,Myjava,Trenčiansky,"5,419"
Brezovec,Snina,Prešovský,51
Brezovica / okres Sabinov,Sabinov,Prešovský,"1,688"
Brezovica / okres Tvrdosin,Tvrdošín,Žilinský,"1,314"
Brezovička,Sabinov,Prešovský,421
Brezovka,Bardejov,Prešovský,112
Brežany,Prešov,Prešovský,153
Brhlovce,Levice,Nitriansky,304
Brieštie,Turčianske Teplice,Žilinský,160
Brodské,Skalica,Trnavský,"2,415"
Brodzany,Partizánske,Trenčiansky,815
Brunovce,Nové Mesto nad Váhom,Trenčiansky,557
Brusnica,Stropkov,Prešovský,442
Brusník,Veľký Krtíš,Banskobystrický,97
Brusno,Banská Bystrica,Banskobystrický,"2,128"
Brutovce,Levoča,Prešovský,201
Bruty,Nové Zámky,Nitriansky,696
Brvnište,Považská Bystrica,Trenčiansky,"1,148"
Brzotín,Rožňava,Košický,"1,3"
Buclovany,Bardejov,Prešovský,226
Búč,Komárno,Nitriansky,"1,152"
Bučany,Trnava,Trnavský,"2,202"
Budča,Zvolen,Banskobystrický,"1,213"
Budikovany,Rimavská Sobota,Banskobystrický,46
Budimír,Košice - okolie,Košický,923
Budiná,Lučenec,Banskobystrický,266
Budince,Michalovce,Košický,207
Budiš,Turčianske Teplice,Žilinský,204
Budkovce,Michalovce,Košický,"1,508"
Budmerice,Pezinok,Bratislavský,"2,015"
Buglovce,Levoča,Prešovský,260
Buková,Trnava,Trnavský,661
Bukovce,Stropkov,Prešovský,550
Bukovec / okres Kosice okolie,Košice - okolie,Košický,709
Bukovec / okres  Myjava,Myjava,Trenčiansky,399
Bukovina,Liptovský Mikuláš,Žilinský,129
Bulhary,Lučenec,Banskobystrický,283
Bunetice,Košice - okolie,Košický,91
Bunkovce,Sobrance,Košický,347
Bušince,Veľký Krtíš,Banskobystrický,"1,459"
Bušovce,Kežmarok,Prešovský,320
Buzica,Košice - okolie,Košický,"1,167"
Buzitka,Lučenec,Banskobystrický,510
Bystrá / okres Brezno,Brezno,Banskobystrický,188
Bystrá / okres Stropkov,Stropkov,Prešovský,25
Bystrany,Spišská Nová Ves,Košický,"2,91"
Bystré,Vranov nad Topľou,Prešovský,"2,716"
Bystričany,Prievidza,Trenčiansky,"1,814"
Bystrička,Martin,Žilinský,"1,387"
Byšta,Trebišov,Košický,153
Bytča,Bytča,Žilinský,"11,595"
Bzenica,Žiar nad Hronom,Banskobystrický,533
Bzenov,Prešov,Prešovský,721
Bzince pod Javorinou,Nové Mesto nad Váhom,Trenčiansky,"2,092"
Bziny,Dolný Kubín,Žilinský,533
Bzovík,Krupina,Banskobystrický,"1,086"
Bzovská Lehôtka,Zvolen,Banskobystrický,116
Bžany,Stropkov,Prešovský,160
Cabaj - Čápor,Nitra,Nitriansky,"3,698"
Cabov,Vranov nad Topľou,Prešovský,416
Cakov,Rimavská Sobota,Banskobystrický,307
Cejkov,Trebišov,Košický,"1,192"
Cernina,Svidník,Prešovský,591
Cerová,Senica,Trnavský,"1,223"
Cerovo,Krupina,Banskobystrický,583
Cestice,Košice - okolie,Košický,775
Chanava,Rimavská Sobota,Banskobystrický,702
Chľaba,Nové Zámky,Nitriansky,715
Chlebnice,Dolný Kubín,Žilinský,"1,6"
Chlmec,Humenné,Prešovský,555
Chmeľnica,Stará Ľubovňa,Prešovský,922
Chmeľov,Prešov,Prešovský,921
Chmeľová,Bardejov,Prešovský,391
Chmeľovec,Prešov,Prešovský,434
Chmiňany,Prešov,Prešovský,784
Chminianska Nová Ves,Prešov,Prešovský,"1,242"
Chminianske Jakubovany,Prešov,Prešovský,"1,773"
Choča,Zlaté Moravce,Nitriansky,501
Chocholná-Velčice,Trenčín,Trenčiansky,"1,716"
Choňkovce,Sobrance,Košický,615
Chorvátsky Grob,Senec,Bratislavský,"2,448"
Chorváty,Košice - okolie,Košický,97
Chotča,Stropkov,Prešovský,556
Chotín,Komárno,Nitriansky,"1,417"
Chrabrany,Topoľčany,Nitriansky,780
Chrámec,Rimavská Sobota,Banskobystrický,394
Chrasť nad Hornádom,Spišská Nová Ves,Košický,787
Chrastince,Veľký Krtíš,Banskobystrický,235
Chrastné,Košice - okolie,Košický,394
Chrenovec - Brusno,Prievidza,Trenčiansky,"1,354"
Chropov,Skalica,Trnavský,366
Chrťany,Veľký Krtíš,Banskobystrický,132
Chtelnica,Piešťany,Trnavský,"2,578"
Chudá Lehota,Bánovce nad Bebravou,Trenčiansky,217
Chvalová,Revúca,Banskobystrický,179
Chvojnica / okres Myjava,Myjava,Trenčiansky,384
Chvojnica / okres Prievidza,Prievidza,Trenčiansky,240
Chynorany,Partizánske,Trenčiansky,"2,741"
Chyžné,Revúca,Banskobystrický,434
Cífer,Trnava,Trnavský,"3,917"
Cigeľ,Prievidza,Trenčiansky,"1,086"
Cigeľka,Bardejov,Prešovský,494
Cigla,Svidník,Prešovský,92
Cimenná,Bánovce nad Bebravou,Trenčiansky,90
Cinobaňa,Poltár,Banskobystrický,"2,349"
Čab,Nitra,Nitriansky,700
Čabalovce,Medzilaborce,Prešovský,360
Čabiny,Medzilaborce,Prešovský,387
Čabradský Vrbovok,Krupina,Banskobystrický,278
Čadca,Čadca,Žilinský,"25,751"
Čachtice,Nové Mesto nad Váhom,Trenčiansky,"3,691"
Čajkov,Levice,Nitriansky,"1,055"
Čaka,Levice,Nitriansky,848
Čakajovce,Nitra,Nitriansky,"1,088"
Čakanovce / okres Lucenec,Lučenec,Banskobystrický,991
Čakanovce / okres Kosice okolie,Košice - okolie,Košický,569
Čakany,Dunajská Streda,Trnavský,577
Čaklov,Vranov nad Topľou,Prešovský,"2,278"
Čalovec,Komárno,Nitriansky,"1,18"
Čamovce,Lučenec,Banskobystrický,525
Čaňa,Košice - okolie,Košický,"5,092"
Čaradice,Zlaté Moravce,Nitriansky,520
Čáry,Senica,Trnavský,"1,246"
Častá,Pezinok,Bratislavský,"2,141"
Častkov,Senica,Trnavský,603
Častkovce,Nové Mesto nad Váhom,Trenčiansky,"1,036"
Čata,Levice,Nitriansky,"1,23"
Čataj,Senec,Bratislavský,"1,003"
Čavoj,Prievidza,Trenčiansky,562
Čebovce,Veľký Krtíš,Banskobystrický,"1,013"
Čečehov,Michalovce,Košický,359
Čečejovce,Košice - okolie,Košický,"1,981"
Čechy,Nové Zámky,Nitriansky,317
Čechynce,Nitra,Nitriansky,"1,02"
Čekovce,Krupina,Banskobystrický,405
Čeľadice,Nitra,Nitriansky,760
Čeľadince,Topoľčany,Nitriansky,447
Čeláre,Veľký Krtíš,Banskobystrický,512
Čelkova Lehota,Považská Bystrica,Trenčiansky,146
Čelovce / okres Presov,Prešov,Prešovský,304
Čelovce / okres Velky krtis,Veľký krtíš,Banskobystrický,452
Čeľovce,Trebišov,Košický,520
Čenkovce,Dunajská Streda,Trnavský,"1,069"
Čereňany,Prievidza,Trenčiansky,"1,757"
Čerenčany,Rimavská Sobota,Banskobystrický,526
Čerhov,Trebišov,Košický,821
Čerín,Banská Bystrica,Banskobystrický,451
Čermany,Topoľčany,Nitriansky,389
Černík,Nové Zámky,Nitriansky,"1,003"
Černina,Humenné,Prešovský,183
Černochov,Trebišov,Košický,220
Čertižné,Medzilaborce,Prešovský,390
Červená Voda,Sabinov,Prešovský,449
Červeňany,Veľký Krtíš,Banskobystrický,38
Červenica,Prešov,Prešovský,782
Červenica pri Sabinove,Sabinov,Prešovský,776
Červeník,Hlohovec,Trnavský,"1,559"
Červený Hrádok,Zlaté Moravce,Nitriansky,434
Červený Kameň,Ilava,Trenčiansky,744
Červený Kláštor,Kežmarok,Prešovský,223
České Brezovo,Poltár,Banskobystrický,505
Čičarovce,Michalovce,Košický,871
Čičava,Vranov nad Topľou,Prešovský,"1,058"
Čičmany,Žilina,Žilinský,192
Číčov,Komárno,Nitriansky,"1,347"
Čierna,Trebišov,Košický,405
Čierna Lehota / okres Roznava,Rožňava,Košický,600
Čierna Lehota / okres Banovce nad Bebravou,Bánovce nad Bebravou,Trenčiansky,136
Čierna nad Tisou,Trebišov,Košický,"4,162"
Čierna Voda,Galanta,Trnavský,"1,427"
Čierne,Čadca,Žilinský,"4,377"
Čierne Kľačany,Zlaté Moravce,Nitriansky,"1,125"
Čierne nad Topľou,Vranov nad Topľou,Prešovský,794
Čierne Pole,Michalovce,Košický,278
Čierny Balog,Brezno,Banskobystrický,"5,144"
Čierny Brod,Galanta,Trnavský,"1,577"
Čierny Potok,Rimavská Sobota,Banskobystrický,147
Čifáre,Nitra,Nitriansky,649
Čiližská Radvaň,Dunajská Streda,Trnavský,"1,265"
Čimhová,Tvrdošín,Žilinský,653
Čirč,Stará Ľubovňa,Prešovský,"1,189"
Číž,Rimavská Sobota,Banskobystrický,702
Čižatice,Košice - okolie,Košický,360
Čoltovo,Rožňava,Košický,478
Čremošné,Turčianske Teplice,Žilinský,89
Čučma,Rožňava,Košický,650
Čukalovce,Snina,Prešovský,159
Ďačov,Sabinov,Prešovský,764
Dačov Lom,Veľký Krtíš,Banskobystrický,406
Daletice,Sabinov,Prešovský,102
Danišovce,Spišská Nová Ves,Košický,493
Ďanová,Martin,Žilinský,473
Ďapalovce,Vranov nad Topľou,Prešovský,487
Dargov,Trebišov,Košický,553
Davidov,Vranov nad Topľou,Prešovský,845
Debraď,Košice - okolie,Košický,371
Dechtice,Trnava,Trnavský,"1,829"
Dedačov,Humenné,Prešovský,173
Dedina Mládeže,Komárno,Nitriansky,499
Dedinka,Nové Zámky,Nitriansky,869
Dedinky,Rožňava,Košický,305
Dekýš,Banská Štiavnica,Banskobystrický,224
Demandice,Levice,Nitriansky,"1,02"
Demänovská Dolina,Liptovský Mikuláš,Žilinský,345
Demjata,Prešov,Prešovský,"1,106"
Detrík,Vranov nad Topľou,Prešovský,55
Detva,Detva,Banskobystrický,"14,977"
Detvianska Huta,Detva,Banskobystrický,741
Devičany,Levice,Nitriansky,393
Devičie,Krupina,Banskobystrický,307
Dežerice,Bánovce nad Bebravou,Trenčiansky,640
Diaková,Martin,Žilinský,257
Diakovce,Šaľa,Nitriansky,"2,6"
Diviacka Nová Ves,Prievidza,Trenčiansky,"1,759"
Diviaky nad Nitricou,Prievidza,Trenčiansky,"1,795"
Divín,Lučenec,Banskobystrický,"2,022"
Divina,Žilina,Žilinský,"2,483"
Divinka,Žilina,Žilinský,884
Dlhá,Trnava,Trnavský,361
Dlhá nad Kysucou,Čadca,Žilinský,504
Dlhá nad Oravou,Dolný Kubín,Žilinský,"1,402"
Dlhá nad Váhom,Šaľa,Nitriansky,900
Dlhá Ves,Rožňava,Košický,593
Dlhé Klčovo,Vranov nad Topľou,Prešovský,"1,442"
Dlhé nad Cirochou,Snina,Prešovský,"2,085"
Dlhé Pole,Žilina,Žilinský,"2,029"
Dlhé Stráže,Levoča,Prešovský,511
Dlhoňa,Svidník,Prešovský,71
Dlžín,Prievidza,Trenčiansky,182
Dobrá,Trebišov,Košický,424
Dobrá Niva,Zvolen,Banskobystrický,"1,84"
Dobrá Voda,Trnava,Trnavský,846
Dobroč,Lučenec,Banskobystrický,673
Dobrohošť,Dunajská Streda,Trnavský,380
Dobroslava,Svidník,Prešovský,38
Dobšiná,Rožňava,Košický,"5,112"
Dohňany,Púchov,Trenčiansky,"1,759"
Dojč,Senica,Trnavský,"1,254"
Doľany / okres Pezinok,Pezinok,Bratislavský,"1,027"
Doľany / okres Levoca,Levoča,Prešovský,433
Dolinka,Veľký Krtíš,Banskobystrický,477
Dolná Breznica,Púchov,Trenčiansky,821
Dolná Krupá,Trnava,Trnavský,"2,252"
Dolná Lehota,Brezno,Banskobystrický,730
Dolná Mariková,Považská Bystrica,Trenčiansky,"1,427"
Dolná Mičiná,Banská Bystrica,Banskobystrický,370
Dolná Poruba,Trenčín,Trenčiansky,824
Dolná Seč,Levice,Nitriansky,447
Dolná Streda,Galanta,Trnavský,"1,417"
Dolná Strehová,Veľký Krtíš,Banskobystrický,"1,015"
Dolná Súča,Trenčín,Trenčiansky,"2,928"
Dolná Tižiná,Žilina,Žilinský,"1,243"
Dolná Trnávka,Žiar nad Hronom,Banskobystrický,345
Dolná Ves,Žiar nad Hronom,Banskobystrický,229
Dolná Ždaňa,Žiar nad Hronom,Banskobystrický,675
Dolné Dubové,Trnava,Trnavský,606
Dolné Kočkovce,Púchov,Trenčiansky,"1,22"
Dolné Lefantovce,Nitra,Nitriansky,521
Dolné Lovčice,Trnava,Trnavský,717
Dolné Mladonice,Krupina,Banskobystrický,133
Dolné Naštice,Bánovce nad Bebravou,Trenčiansky,425
Dolné Obdokovce,Nitra,Nitriansky,"1,162"
Dolné Orešany,Trnava,Trnavský,"1,265"
Dolné Otrokovce,Hlohovec,Trnavský,353
Dolné Plachtince,Veľký Krtíš,Banskobystrický,598
Dolné Saliby,Galanta,Trnavský,"1,974"
Dolné Semerovce,Levice,Nitriansky,499
Dolné Srnie,Nové Mesto nad Váhom,Trenčiansky,945
Dolné Strháre,Veľký Krtíš,Banskobystrický,171
Dolné Trhovište,Hlohovec,Trnavský,598
Dolné Vestenice,Prievidza,Trenčiansky,"2,633"
Dolné Zahorany,Rimavská Sobota,Banskobystrický,207
Dolné Zelenice,Hlohovec,Trnavský,552
Dolný Badín,Krupina,Banskobystrický,252
Dolný Bar,Dunajská Streda,Trnavský,621
Dolný Harmanec,Banská Bystrica,Banskobystrický,225
Dolný Hričov,Žilina,Žilinský,"1,506"
Dolný Chotár,Galanta,Trnavský,237
Dolný Kalník,Martin,Žilinský,46
Dolný Kubín,Dolný Kubín,Žilinský,"19,775"
Dolný Lieskov,Považská Bystrica,Trenčiansky,820
Dolný Lopašov,Piešťany,Trnavský,957
Dolný Ohaj,Nové Zámky,Nitriansky,"1,658"
Dolný Pial,Levice,Nitriansky,985
Dolný Štál,Dunajská Streda,Trnavský,"1,951"
Dolný Vadičov,Kysucké nové Mesto,Žilinský,459
Domadice,Levice,Nitriansky,266
Domaníky,Krupina,Banskobystrický,188
Domaniža,Považská Bystrica,Trenčiansky,"1,486"
Domaňovce,Levoča,Prešovský,896
Donovaly,Banská Bystrica,Banskobystrický,207
Drábsko,Brezno,Banskobystrický,223
Drahňov,Michalovce,Košický,"1,243"
Drahovce,Piešťany,Trnavský,"2,581"
Dravce,Levoča,Prešovský,768
Dražice,Rimavská Sobota,Banskobystrický,214
Dražkovce,Martin,Žilinský,651
Drážovce,Krupina,Banskobystrický,119
Drienčany,Rimavská Sobota,Banskobystrický,256
Drienica,Sabinov,Prešovský,686
Drienov,Prešov,Prešovský,"2,105"
Drienovec,Košice - okolie,Košický,"1,812"
Drienovo,Krupina,Banskobystrický,125
Drienovská Nová Ves,Prešov,Prešovský,715
Drietoma,Trenčín,Trenčiansky,"2,123"
Drňa,Rimavská Sobota,Banskobystrický,209
Drnava,Rožňava,Košický,670
Družstevná pri Hornáde,Košice - okolie,Košický,"2,338"
Drženice,Levice,Nitriansky,410
Držkovce,Revúca,Banskobystrický,512
Ďubákovo,Poltár,Banskobystrický,110
Dubinné,Bardejov,Prešovský,337
Dubnica nad Váhom,Ilava,Trenčiansky,"25,263"
Dubnička,Bánovce nad Bebravou,Trenčiansky,82
Dubník,Nové Zámky,Nitriansky,"1,775"
Dubno,Rimavská Sobota,Banskobystrický,148
Dubodiel,Trenčín,Trenčiansky,910
Dubová / okres Pezinok,Pezinok,Bratislavský,904
Dubová / okres Svidnik,Svidník,Prešovský,220
Dubovany,Piešťany,Trnavský,966
Dubovce,Skalica,Trnavský,678
Dubové / okres Zvolen,Zvolen,Banskobystrický,250
Dubové / okres Turcienske Teplice,Turčianske Teplice,Žilinský,740
Dubovec,Rimavská Sobota,Banskobystrický,565
Dubovica,Sabinov,Prešovský,"1,48"
Dúbrava / okres Levoca,Levoča,Prešovský,359
Dúbrava / okres Snina,Snina,Prešovský,272
Dúbrava / okres Liptovsky mikulas,Liptovský Mikuláš,Žilinský,"1,261"
Dúbravica,Banská Bystrica,Banskobystrický,369
Dúbravka,Michalovce,Košický,676
Dúbravy,Detva,Banskobystrický,975
Ducové,Piešťany,Trnavský,360
Dudince,Krupina,Banskobystrický,"1,52"
Dukovce,Svidník,Prešovský,250
Dulov,Ilava,Trenčiansky,917
Dulova Ves,Prešov,Prešovský,629
Dulovce,Komárno,Nitriansky,"1,826"
Dulovo,Rimavská Sobota,Banskobystrický,207
Dunajov,Čadca,Žilinský,942
Dunajská Lužná,Senec,Bratislavský,"3,65"
Dunajská Streda,Dunajská Streda,Trnavský,"23,419"
Dunajský Klátov,Dunajská Streda,Trnavský,444
Duplín,Stropkov,Prešovský,472
Ďurčiná,Žilina,Žilinský,"1,06"
Ďurďoš,Vranov nad Topľou,Prešovský,248
Ďurďošík,Košice - okolie,Košický,364
Ďurďové,Považská Bystrica,Trenčiansky,172
Ďurkov,Košice - okolie,Košický,"1,643"
Ďurková,Stará Ľubovňa,Prešovský,275
Ďurkovce,Veľký Krtíš,Banskobystrický,126
Dvorany nad Nitrou,Topoľčany,Nitriansky,752
Dvorec,Bánovce nad Bebravou,Trenčiansky,437
Dvorianky,Trebišov,Košický,609
Dvorníky,Hlohovec,Trnavský,"2,069"
Dvorníky-Včeláre,Košice - okolie,Košický,439
Dvory nad Žitavou,Nové Zámky,Nitriansky,"5,138"
Egreš,Trebišov,Košický,441
Fačkov,Žilina,Žilinský,715
Falkušovce,Michalovce,Košický,661
Farná,Levice,Nitriansky,"1,45"
Fekišovce,Sobrance,Košický,303
Figa,Rimavská Sobota,Banskobystrický,401
Fijaš,Svidník,Prešovský,158
