090 05 Bodružal (SK)
946 16 Bodza (KN)
946 14 Bodzianske Lúky (KN)
086 04 Bogliarka (BJ)
947 03 Bohatá (KN)
044 16 Bohdanovce (KS)
919 09 Bohdanovce nad Trnavou (TT)
929 01 Boheľov (DS)
018 52 Bohunice (IL)
935 05 Bohunice (LV)
919 30 Bohunice (TT)
049 12 Bohúňovo (RV)
956 01 Bojná (TO)
972 01 Bojnice (PD)
972 01 Bojnice - kúpele (PD)
920 55 Bojničky (HC)
946 39 Bokroš (KN)
091 01 Bokša (SP)
076 53 Boľ (TV)
925 26 Boldog (SC)
919 08 Boleráz (TT)
018 53 Bolešov (IL)
044 47 Boliarov (KS)
984 01 Boľkovce (LC)
038 44 Borcová (TR)
956 36 Borčany (BN)
018 53 Borčice (IL)
044 45 Borda (KS)
900 32 Borinka (MA)
068 01 Borov (ML)
919 61 Borová (TT)
922 09 Borovce (PN)
908 77 Borský Mikuláš (SE)
908 77 Borský Peter (SE)
908 79 Borský Svätý Jur (SE)
076 32 Borša (TV)
935 87 Bory (LV)
913 07 Bošáca (NM)
956 18 Bošany (PE)
913 26 Bošianska Neporadza (TN)
076 43 Boťany (TV)
980 41 Bottovo (RS)
076 62 Božčice (TV)
049 42 Bôrka (RV)
072 05 Bracovce (MI)
982 67 Brádno (RS)
951 13 Branč (NR)
941 31 Branovo (NZ)
831 01 Bratislava (Bratislava)
962 06 Bratkovica (DT)
976 64 Braväcovo (BR)
049 34 Brdárka (RV)
076 05 Brehov (TV)
968 01 Brehy (ZC)
066 01 Brekov (HE)
985 53 Brestina (LC)
066 01 Brestov (HE)
082 05 Brestov (PO)
067 01 Brestov nad Laborcom (ML)
919 27 Brestovany (TT)
916 42 Brestové (NM)
946 17 Brestovec (KN)
907 01 Brestovec (MY)
082 03 Bretejovce (PO)
980 46 Bretka (RV)
029 53 Breza (NO)
972 12 Brezany (PD)
010 04 Brezany (ZA)
076 12 Brezina (TV)
962 61 Breziny (ZV)
091 01 Breznica (SP)
985 02 Breznička (PT)
091 01 Breznička (SP)
977 01 Brezno (BR)
957 01 Brezolupy (BN)
087 01 Brezov (BJ)
906 13 Brezová pod Bradlom (MY)
067 73 Brezovec (SV)
082 74 Brezovica (SB)
028 01 Brezovica (TS)
082 74 Brezovička (SB)
086 11 Brezovka (BJ)
082 41 Brežany (PO)
935 02 Brhlovce (LV)
018 22 Briestenné (PB)
038 22 Brieštie (TR)
029 57 Brišovka (NO)
032 23 Brnice (LM)
010 14 Brodno (ZA)
908 85 Brodské (SI)
958 42 Brodzany (PE)
013 54 Bršlica (BY)
976 51 Bruchačka (BR)
916 25 Brunovce (NM)
090 31 Brusnica (SP)
982 64 Brusník (RA)
991 01 Brusník (VK)
976 62 Brusno (BB)
972 32 Brusno (PD)
976 62 Brusno - kúpele (BB)
053 73 Brutovce (LE)
943 55 Bruty (NZ)
018 12 Brvnište (PB)
049 51 Brzotín (RV)
086 43 Buclovany (BJ)
946 35 Búč (KN)
919 28 Bučany (TT)
029 57 Bučina (NO)
916 42 Bučkovec (NM)
931 01 Bučuháza (DS)
010 03 Budatín (ZA)
023 36 Budatínska Lehota (KM)
962 33 Budča (ZV)
962 34 Budička (ZV)
980 23 Budikovany (RS)
044 43 Budimír (KS)
985 12 Budiná (LC)
076 77 Budince (MI)
038 23 Budiš (TR)
072 15 Budkovce (MI)
900 86 Budmerice (PK)
045 01 Budulov (KS)
082 71 Budzín (SB)
053 04 Buglovce (LE)
977 01 Bujakovo (BR)
013 61 Buková (BY)
919 10 Buková (TT)
090 22 Bukovce (SP)
044 20 Bukovec (KS)
906 14 Bukovec (MY)
991 02 Bukovec (VK)
032 23 Bukovina (LM)
968 01 Bukovina (ZC)
966 01 Bukovina (ZH)
985 51 Bukovinka (DT)
